,User-ID,User-City,User-State,User-Country,User-Age
0,8,timmins,ontario,canada,35.254024342363564
1,9,germantown,tennessee,usa,37.425643879977734
2,16,albuquerque,new mexico,usa,37.425643879977734
3,17,chesapeake,virginia,usa,37.425643879977734
4,19,weston,,unknown,14.0
5,26,bellevue,washington,usa,37.425643879977734
6,32,portland,oregon,usa,37.425643879977734
7,39,cary,north carolina,usa,37.425643879977734
8,42,appleton,wisconsin,usa,17.0
9,44,black mountain,north carolina,usa,51.0
10,51,renton,washington,usa,34.0
11,53,tacoma,washington,usa,37.425643879977734
12,56,cheyenne,wyoming,usa,24.0
13,69,vancouver,british columbia,canada,35.254024342363564
14,73,wentzville,missouri,usa,37.425643879977734
15,75,long beach,california,usa,37.0
16,78,oakland,california,usa,18.0
17,81,santa cruz,california,usa,37.425643879977734
18,83,eugene,oregon,usa,37.425643879977734
19,85,london,england,united kingdom,41.0
20,97,mechanicsburg,pennsylvania,usa,37.425643879977734
21,99,franktown,colorado,usa,42.0
22,107,lethbridge,alberta,canada,35.254024342363564
23,114,ligonier,pennsylvania,usa,57.0
24,125,lansing,michigan,usa,49.0
25,129,bloomington,minnesota,usa,47.0
26,165,olympia,washington,usa,62.0
27,169,arlington,virginia,usa,37.425643879977734
28,178,rexford,new york,usa,28.0
29,185,baton rouge,louisiana,usa,17.0
30,202,ottawa,ontario,canada,28.0
31,212,manila,,philippines,21.0
32,224,strafford,missouri,usa,37.425643879977734
33,226,new york,new york,usa,37.425643879977734
34,228,ann arbor,michigan,usa,41.0
35,230,New York,new york,usa,37.425643879977734
36,232,mumbai,maharashtra,india,16.0
37,242,neuffen,,germany,37.0
38,243,arden hills,minnesota,usa,37.425643879977734
39,244,college station,texas,usa,37.425643879977734
40,254,minneapolis,minnesota,usa,24.0
41,256,boston,massachusetts,usa,37.425643879977734
42,257,quit,quit,quit,34.0
43,272,walla walla,washington,usa,20.0
44,280,yakima,washington,usa,37.425643879977734
45,291,ft. collins,colorado,usa,37.425643879977734
46,300,newport news,virginia,usa,37.425643879977734
47,326,parkville,missouri,usa,37.425643879977734
48,332,lake oswego,oregon,usa,59.0
49,334,jyväskylä,,finland,27.0
50,337,málaga,,spain,17.0
51,339,tampere,pirkanmaa,finland,20.0
52,356,leesburg,virginia,usa,37.425643879977734
53,361,premià de dalt,barcelona,spain,25.0
54,362,thunder bay,ontario,canada,63.0
55,367,culver city,california,usa,45.0
56,372,bamberg,bayern,germany,22.0
57,383,carmichael,california,usa,37.425643879977734
58,387,charity,missouri,usa,17.0
59,388,nashville,tennessee,usa,35.0
60,408,mountain view,california,usa,17.0
61,413,naperville,illinois,usa,17.0
62,424,portland,oregon,usa,29.0
63,430,silver spring,maryland,usa,37.425643879977734
64,431,ridgway,pennsylvania,usa,40.0
65,433,smock,pennsylvania,usa,48.0
66,440,brookfield,wisconsin,usa,16.0
67,441,spokane,washington,usa,37.425643879977734
68,444,sweet home,oregon,usa,40.0
69,446,chevy chase,washington d.c,usa,37.425643879977734
70,453,charleston,west virginia,usa,37.425643879977734
71,460,roma,italy,italy,31.72563176895307
72,476,rome,new york,usa,37.425643879977734
73,486,portland,oregon,usa,31.0
74,487,houston,texas,usa,37.425643879977734
75,493,manhattan,kansas,usa,29.0
76,494,parry sound,ontario,canada,35.254024342363564
77,496,west salem,wisconsin,usa,51.0
78,499,la verne,california,usa,62.0
79,503,el centro,california,usa,40.0
80,505,washington,washington d.c,usa,51.0
81,507,dumas,arkansas,usa,37.425643879977734
82,508,portland,oregon,usa,29.0
83,512,winter springs,florida,usa,58.0
84,513,savannah,georgia,usa,37.425643879977734
85,523,bozeman,montana,usa,19.0
86,565,franklin,tennessee,usa,48.0
87,566,springfield,illinois,usa,37.425643879977734
88,567,spokane,washington,usa,37.425643879977734
89,592,boston,massachusetts,usa,37.425643879977734
90,595,hollywood,florida,usa,17.0
91,596,san francisco,california,usa,49.0
92,619,long beach,mississippi,usa,37.425643879977734
93,620,toronto,ontario,canada,45.0
94,625,marseille,provence,france,41.0
95,626,graz,steiermark,austria,41.0
96,628,berlin,berlin,germany,31.28014705882353
97,638,san diego,california,usa,20.0
98,639,washington dc,virginia,usa,37.425643879977734
99,640,scotch village,nova scotia,canada,35.254024342363564
100,641,portland,oregon,usa,37.425643879977734
