User-ID,User-City,User-State,User-Country,User-Age,Age-Group,User-Info,User-Country-Encoded,User-Info-Encoded,Age-Group-Encoded
8,timmins,ontario,canada,13.0,"(4.0, 26.0]",timmins_ontario_canada,17,11421,0
9,germantown,tennessee,usa,33.0,"(26.0, 34.0]",germantown_tennessee_usa,124,4225,1
16,albuquerque,new mexico,usa,55.0,"(46.0, 100.0]",albuquerque_new mexico_usa,124,190,3
17,chesapeake,virginia,usa,36.0,"(34.0, 46.0]",chesapeake_virginia_usa,124,2148,2
19,weston,unknown,unknown,14.0,"(4.0, 26.0]",weston_unknown_unknown,121,12473,0
26,bellevue,washington,usa,39.0,"(34.0, 46.0]",bellevue_washington_usa,124,933,2
32,portland,oregon,usa,15.0,"(4.0, 26.0]",portland_oregon_usa,124,9149,0
39,cary,north carolina,usa,26.0,"(4.0, 26.0]",cary_north carolina_usa,124,1925,0
42,appleton,wisconsin,usa,17.0,"(4.0, 26.0]",appleton_wisconsin_usa,124,425,0
44,black mountain,north carolina,usa,51.0,"(46.0, 100.0]",black mountain_north carolina_usa,124,1152,3
51,renton,washington,usa,34.0,"(26.0, 34.0]",renton_washington_usa,124,9486,1
53,tacoma,washington,usa,59.0,"(46.0, 100.0]",tacoma_washington_usa,124,11223,3
56,cheyenne,wyoming,usa,24.0,"(4.0, 26.0]",cheyenne_wyoming_usa,124,2182,0
69,vancouver,british columbia,canada,43.0,"(34.0, 46.0]",vancouver_british columbia_canada,17,11882,2
73,wentzville,missouri,usa,26.0,"(4.0, 26.0]",wentzville_missouri_usa,124,12332,0
75,long beach,california,usa,37.0,"(34.0, 46.0]",long beach_california_usa,124,6510,2
78,oakland,california,usa,18.0,"(4.0, 26.0]",oakland_california_usa,124,8303,0
81,santa cruz,california,usa,24.0,"(4.0, 26.0]",santa cruz_california_usa,124,10099,0
83,eugene,oregon,usa,58.0,"(46.0, 100.0]",eugene_oregon_usa,124,3600,3
85,london,england,united kingdom,41.0,"(34.0, 46.0]",london_england_united kingdom,117,6493,2
97,mechanicsburg,pennsylvania,usa,57.0,"(46.0, 100.0]",mechanicsburg_pennsylvania_usa,124,7026,3
99,franktown,colorado,usa,42.0,"(34.0, 46.0]",franktown_colorado_usa,124,3974,2
107,lethbridge,alberta,canada,15.0,"(4.0, 26.0]",lethbridge_alberta_canada,17,6260,0
114,ligonier,pennsylvania,usa,57.0,"(46.0, 100.0]",ligonier_pennsylvania_usa,124,6324,3
125,lansing,michigan,usa,49.0,"(46.0, 100.0]",lansing_michigan_usa,124,6074,3
129,bloomington,minnesota,usa,47.0,"(46.0, 100.0]",bloomington_minnesota_usa,124,1207,3
165,olympia,washington,usa,62.0,"(46.0, 100.0]",olympia_washington_usa,124,8426,3
169,arlington,virginia,usa,50.0,"(46.0, 100.0]",arlington_virginia_usa,124,460,3
178,rexford,new york,usa,28.0,"(26.0, 34.0]",rexford_new york_usa,124,9504,1
185,baton rouge,louisiana,usa,17.0,"(4.0, 26.0]",baton rouge_louisiana_usa,124,812,0
202,ottawa,ontario,canada,28.0,"(26.0, 34.0]",ottawa_ontario_canada,17,8543,1
212,manila,unknown,philippines,21.0,"(4.0, 26.0]",manila_unknown_philippines,86,6808,0
224,strafford,missouri,usa,62.0,"(46.0, 100.0]",strafford_missouri_usa,124,11033,3
226,new york,new york,usa,37.0,"(34.0, 46.0]",new york_new york_usa,124,7947,2
228,ann arbor,michigan,usa,41.0,"(34.0, 46.0]",ann arbor_michigan_usa,124,373,2
230,New York,new york,usa,59.0,"(46.0, 100.0]",New York_new york_usa,124,45,3
232,mumbai,maharashtra,india,16.0,"(4.0, 26.0]",mumbai_maharashtra_india,49,7641,0
242,neuffen,unknown,germany,37.0,"(34.0, 46.0]",neuffen_unknown_germany,41,7852,2
243,arden hills,minnesota,usa,26.0,"(4.0, 26.0]",arden hills_minnesota_usa,124,441,0
244,college station,texas,usa,17.0,"(4.0, 26.0]",college station_texas_usa,124,2457,0
254,minneapolis,minnesota,usa,24.0,"(4.0, 26.0]",minneapolis_minnesota_usa,124,7299,0
256,boston,massachusetts,usa,50.0,"(46.0, 100.0]",boston_massachusetts_usa,124,1297,3
257,quit,quit,quit,34.0,"(26.0, 34.0]",quit_quit_quit,92,9342,1
272,walla walla,washington,usa,20.0,"(4.0, 26.0]",walla walla_washington_usa,124,12085,0
280,yakima,washington,usa,36.0,"(34.0, 46.0]",yakima_washington_usa,124,12859,2
291,ft. collins,colorado,usa,53.0,"(46.0, 100.0]",ft. collins_colorado_usa,124,4064,3
300,newport news,virginia,usa,33.0,"(26.0, 34.0]",newport news_virginia_usa,124,7992,1
326,parkville,missouri,usa,24.0,"(4.0, 26.0]",parkville_missouri_usa,124,8723,0
332,lake oswego,oregon,usa,59.0,"(46.0, 100.0]",lake oswego_oregon_usa,124,5988,3
334,jyväskylä,unknown,finland,27.0,"(26.0, 34.0]",jyväskylä_unknown_finland,39,5552,1
337,málaga,unknown,spain,17.0,"(4.0, 26.0]",málaga_unknown_spain,102,7699,0
339,tampere,pirkanmaa,finland,20.0,"(4.0, 26.0]",tampere_pirkanmaa_finland,39,11251,0
356,leesburg,virginia,usa,29.0,"(26.0, 34.0]",leesburg_virginia_usa,124,6203,1
361,premià de dalt,barcelona,spain,25.0,"(4.0, 26.0]",premià de dalt_barcelona_spain,102,9210,0
362,thunder bay,ontario,canada,63.0,"(46.0, 100.0]",thunder bay_ontario_canada,17,11399,3
367,culver city,california,usa,45.0,"(34.0, 46.0]",culver city_california_usa,124,2762,2
372,bamberg,bayern,germany,22.0,"(4.0, 26.0]",bamberg_bayern_germany,41,707,0
383,carmichael,california,usa,40.0,"(34.0, 46.0]",carmichael_california_usa,124,1887,2
387,charity,missouri,usa,17.0,"(4.0, 26.0]",charity_missouri_usa,124,2078,0
388,nashville,tennessee,usa,35.0,"(34.0, 46.0]",nashville_tennessee_usa,124,7798,2
408,mountain view,california,usa,17.0,"(4.0, 26.0]",mountain view_california_usa,124,7569,0
413,naperville,illinois,usa,17.0,"(4.0, 26.0]",naperville_illinois_usa,124,7774,0
424,portland,oregon,usa,29.0,"(26.0, 34.0]",portland_oregon_usa,124,9149,1
430,silver spring,maryland,usa,48.0,"(46.0, 100.0]",silver spring_maryland_usa,124,10472,3
431,ridgway,pennsylvania,usa,40.0,"(34.0, 46.0]",ridgway_pennsylvania_usa,124,9568,2
433,smock,pennsylvania,usa,48.0,"(46.0, 100.0]",smock_pennsylvania_usa,124,10540,3
440,brookfield,wisconsin,usa,16.0,"(4.0, 26.0]",brookfield_wisconsin_usa,124,1493,0
