ISBN,Book-Title,Book-Author,Year-Of-Publication,Book-Publisher,Book-Author-Processed,Book-Publisher-Processed,Book-Title-Processed,Book-Info,Book-Vector,Year-Of-Publication-Group,Year-Of-Publication-Group-Encoded
0002005018,Clara Callan,Richard Bruce Wright,2001.0,HarperFlamingo Canada,richard bruce wright,harperflamingo canada,clara callan,Clara Callan by Richard Bruce Wright,[0. 0. 0. ... 0. 0. 0.],"(1999, 2009]",8
0374157065,Flu: The Story of the Great Influenza Pandemic of 1918 and the Search for the Virus That Caused It,Gina Bari Kolata,1999.0,Farrar Straus Giroux,gina bari kolata,farrar straus giroux,flu story great influenza pandemic 1918 search virus caused,Flu: The Story of the Great Influenza Pandemic of 1918 and the Search for the Virus That Caused It by Gina Bari Kolata,[0. 0. 0. ... 0. 0. 0.],"(1989, 1999]",7
0399135782,The Kitchen God's Wife,Amy Tan,1991.0,Putnam Pub Group,amy tan,putnam pub group,kitchen god wife,The Kitchen God's Wife by Amy Tan,[0. 0. 0. ... 0. 0. 0.],"(1989, 1999]",7
0440234743,The Testament,John Grisham,1999.0,Dell,john grisham,dell,testament,The Testament by John Grisham,[0. 0. 0. ... 0. 0. 0.],"(1989, 1999]",7
0452264464,Beloved (Plume Contemporary Fiction),Toni Morrison,1994.0,Plume,toni morrison,plume,beloved plume contemporary fiction,Beloved (Plume Contemporary Fiction) by Toni Morrison,[0. 0. 0. ... 0. 0. 0.],"(1989, 1999]",7
0609804618,Our Dumb Century: The Onion Presents 100 Years of Headlines from America's Finest News Source,The Onion,1999.0,Three Rivers Press,the onion,three rivers press ca,dumb century onion present 100 year headline america finest news source,Our Dumb Century: The Onion Presents 100 Years of Headlines from America's Finest News Source by The Onion,[0. 0. 0. ... 0. 0. 0.],"(1989, 1999]",7
1841721522,New Vegetarian: Bold and Beautiful Recipes for Every Occasion,Celia Brooks Brown,2001.0,Ryland Peters & Small Ltd,celia brooks brown,ryland peters & small ltd,new vegetarian bold beautiful recipe every occasion,New Vegetarian: Bold and Beautiful Recipes for Every Occasion by Celia Brooks Brown,[0. 0. 0. ... 0. 0. 0.],"(1999, 2009]",8
0971880107,Wild Animus,Rich Shapero,2004.0,Too Far,rich shapero,too far,wild animus,Wild Animus by Rich Shapero,[0. 0. 0. ... 0. 0. 0.],"(1999, 2009]",8
0345402871,Airframe,Michael Crichton,1997.0,Ballantine Books,michael crichton,ballantine books,airframe,Airframe by Michael Crichton,[0. 0. 0. ... 0. 0. 0.],"(1989, 1999]",7
0345417623,Timeline,MICHAEL CRICHTON,2000.0,Ballantine Books,michael crichton,ballantine books,timeline,Timeline by MICHAEL CRICHTON,[0. 0. 0. ... 0. 0. 0.],"(1999, 2009]",8
0375759778,Prague : A Novel,ARTHUR PHILLIPS,2003.0,Random House Trade Paperbacks,arthur phillips,random house trade paperbacks,prague novel,Prague : A Novel by ARTHUR PHILLIPS,[0. 0. 0. ... 0. 0. 0.],"(1999, 2009]",8
0375406328,Lying Awake,Mark Salzman,2000.0,Alfred A. Knopf,mark salzman,alfred e knopf,lying awake,Lying Awake by Mark Salzman,[0. 0. 0. ... 0. 0. 0.],"(1999, 2009]",8
0446310786,To Kill a Mockingbird,Harper Lee,1988.0,Little Brown & Company,harper lee,little brown and company,kill mockingbird,To Kill a Mockingbird by Harper Lee,[0. 0. 0. ... 0. 0. 0.],"(1979, 1989]",6
0449005615,Seabiscuit: An American Legend,LAURA HILLENBRAND,2002.0,Ballantine Books,laura hillenbrand,ballantine books,seabiscuit american legend,Seabiscuit: An American Legend by LAURA HILLENBRAND,[0. 0. 0. ... 0. 0. 0.],"(1999, 2009]",8
0060168013,Pigs in Heaven,Barbara Kingsolver,1993.0,Harpercollins,barbara kingsolver,harpercollins,pig heaven,Pigs in Heaven by Barbara Kingsolver,[0. 0. 0. ... 0. 0. 0.],"(1989, 1999]",7
0061099686,Downtown,Anne Rivers Siddons,1995.0,HarperTorch,anne rivers siddons,harpertorch,downtown,Downtown by Anne Rivers Siddons,[0. 0. 0. ... 0. 0. 0.],"(1989, 1999]",7
0553582909,Icebound,Dean R. Koontz,2000.0,Bantam Books,dean r koontz,bantam books,icebound,Icebound by Dean R. Koontz,[0. 0. 0. ... 0. 0. 0.],"(1999, 2009]",8
0671888587,I'll Be Seeing You,Mary Higgins Clark,1994.0,Pocket,mary higgins clark,pocket,seeing,I'll Be Seeing You by Mary Higgins Clark,[0. 0. 0. ... 0. 0. 0.],"(1989, 1999]",7
