ISBN,Book-Title,Book-Author,Year-Of-Publication,Book-Publisher
0002005018,clara callan,richard bruce wright,2001.0,harperflamingo canada
0374157065,flu story great influenza pandemic 1918 search virus caused,gina bari kolata,1999.0,farrar straus giroux byr
0399135782,kitchen god wife,amy tan,1991.0,putnam pub group
0440234743,testament,john grisham,1999.0,dell
0452264464,beloved plume contemporary fiction,toni morrison,1994.0,plume
0609804618,dumb century onion present 100 year headline america finest news source,onion,1999.0,three river press ca
1841721522,new vegetarian bold beautiful recipe every occasion,celia brook brown,2001.0,ryland peter small ltd
0971880107,wild animus,rich shapero,2004.0,far
0345402871,airframe,michael crichton,1997.0,ballantine book
0345417623,timeline,michael crichton,2000.0,ballantine book
0375759778,prague novel,arthur phillips,2003.0,random house trade paperback
0375406328,lying awake,mark salzman,2000.0,alfred knopf
0446310786,kill mockingbird,harper lee,1988.0,little brown company
0449005615,seabiscuit american legend,laura hillenbrand,2002.0,ballantine book
0060168013,pig heaven,barbara kingsolver,1993.0,harpercollins
0061099686,downtown,anne river siddons,1995.0,harpertorch
0553582909,icebound,dean r koontz,2000.0,bantam book
0671888587,seeing,mary higgins clark,1994.0,pocket
0553582747,corner eye,dean r koontz,2001.0,bantam book
0425182908,isle dog,patricia cornwell,2002.0,berkley publishing group
042518630X,purity death,j robb,2002.0,berkley publishing group
0440223571,year different story,maeve binchy,1997.0,dell
0842342702,left behind novel earth last day left behind 1,tim lahaye,2000.0,tyndale house putlishers
0440225701,street lawyer,john grisham,1999.0,dell
0060914068,love medicine miracle,bernie siegel,1988.0,harpercollins publisher
0380715899,soldier great war,mark helprin,1992.0,avon book
0671623249,lonesome dove,larry mcmurtry,1986.0,pocket
0679810307,shabanu daughter wind border trilogy,suzanne fisher staple,1991.0,laurel leaf
0679865691,haveli laurel leaf book,suzanne fisher staple,1995.0,laurel leaf
042511774X,breathing lesson,anne tyler,1994.0,berkley publishing group
0804106304,joy luck club,amy tan,1994.0,prentice hall k 12
1853260053,te urbervilles wordsworth classic,thomas hardy,1997.0,ntc contemporary publishing company
0060938412,accidental virgin,valerie frankel,2003.0,avon trade
0140067477,tao pooh,benjamin hoff,1983.0,penguin book
0345465083,seabiscuit,laura hillenbrand,2003.0,ballantine book
1558531025,life little instruction book life little instruction book paperback,h jackson brown,1991.0,thomas nelson
0441783589,starship trooper,robert heinlein,1987.0,ace book
0394895894,ruby smoke sally lockhart trilogy book 1,philip pullman,1988.0,laurel leaf
0375410538,anil ghost,michael ondaatje,2000.0,knopf
087113375X,modern manner etiquette book rude people,p j rourke,1990.0,atlantic monthly press
0340767936,turning thirty,mike gayle,2000.0,hodder stoughton general division
0316769487,catcher rye,j salinger,1991.0,little brown
8445071408,el senor de los anillos la comunidad del anillo lord ring spanish,j r r tolkien,2001.0,minotauro
8445071769,el senor de los anillos la do torres lord ring paperback,j r r tolkien,2001.0,minotauro
8445071777,el senor de los anillos el retorno del rey tolkien j r r lord ring 3,j r r tolkien,2001.0,distribooks
0679429220,midnight garden good evil savannah story,john berendt,1994.0,random house p
0671867156,pretend see,mary higgins clark,1998.0,pocket
0312252617,fast woman,jennifer crusie,2001.0,st martin press
0312261594,female intelligence,jane heller,2001.0,st martin press
0316748641,pasquale nose idle day italian town,michael rip,2002.0,back bay book
0446677450,rich dad poor dad rich teach kid money poor middle class,robert kiyosaki,2000.0,warner book
0451166892,pillar earth,ken follett,1996.0,signet book
067976397X,corelli mandolin novel,louis de bernieres,1995.0,vintage
0786868716,five people meet heaven,mitch albom,2003.0,hyperion
0671864769,relic star trek next generation,michael jan friedman,1992.0,star trek
0312953453,blood oath,david morrell,1994.0,st martin press
0446608653,alibi,sandra brown,2000.0,warner book
0446612545,beach house,james patterson,2003.0,warner book
0446612618,kiss remembered,sandra brown,2003.0,warner book
0451208080,short forever,stuart wood,2003.0,signet book
0553584383,dead aim,iris johansen,2004.0,bantam book
0671027360,angel demon,dan brown,2001.0,pocket star
0812575954,deal,joe hutsko,2000.0,tor book mm
0316735736,ever wanted novel,anita shreve,2004.0,back bay book
0743439740,every breath take true story obsession revenge murder,ann rule,2002.0,pocket
0380619458,mosquito coast,paul theroux,1990.0,harper mass market paperback mm
0671042858,girl loved tom gordon,stephen king,2000.0,pocket
0743249992,bringing house inside story six student took vega million,ben mezrich,2003.0,free press
0425184226,sum fear,tom clancy,2002.0,berkley publishing group
0375500766,care package letter christopher reeve stranger friend,dana reeve,1999.0,random house p
0060929790,one hundred year solitude,gabriel garcia marquez,1998.0,perennial
0060976845,little altar everywhere novel,rebecca well,1996.0,perennial
0061099325,coyote wait joe leaphorn jim chee novel,tony hillerman,1992.0,harpertorch
0671004573,say good bye,mary higgins clark,2001.0,pocket
0446601640,slow waltz cedar bend,robert james waller,1994.0,warner book
038572179X,atonement novel,ian mcewan,2003.0,anchor
0451410319,hush,anne frasier,2002.0,onyx book
0553583468,whisper evil hooper kay evil trilogy,kay hooper,2002.0,bantam book
0380778556,rebecca,daphne du maurier,1994.0,avon
0451525221,scarlet letter,nathaniel hawthorne,1993.0,signet book
0385336772,diary mad mom,laura wolf,2003.0,delta
0440949424,locked time laurel leaf book,lois duncan,1986.0,laurel leaf
0140252800,brimstone wedding,barbara vine,1997.0,penguin book ltd
0812575482,wolf eye wolf,jane lindskold,2002.0,tor fantasy
044651747X,puerto vallarta squeeze,robert james waller,1995.0,warner book
0060801263,tree grows brooklyn,betty smith,1988.0,harpercollins publisher
0446527165,wish well,david baldacci,2000.0,warner book
0671461494,hitchhiker guide galaxy,douglas adam,1982.0,pocket
0385337639,crow lake today show book club 7,mary lawson,2003.0,delta
039575514X,antonia,willa cather,1995.0,mariner book
0451206673,pen pal,olivia goldsmith,2002.0,signet book
0330332775,bridget jones diary,helen fielding,1997.0,picador uk
0486284735,pride prejudice dover thrift edition,jane austen,1995.0,dover publication
0399138684,cat came breakfast cat hardcover,lilian jackson braun,1994.0,putnam pub group
0345354931,night mare xanth novel paperback,pier anthony,1990.0,del rey book
0553278223,martian chronicle,ray bradbury,1984.0,spectrum
3257208626,fahrenheit 451,ray bradbury,1994.0,distribooks inc
3257233051,veronika deschliesst zu sterben vernika decides die,paulo coelho,2002.0,distribooks
3453212150,die cappuccino jahre au dem tagebuch de adrian mole,sue townsend,2002.0,heyne
3492045642,quersch sse downsize,michael moore,2003.0,piper
3498020862,die korrekturen,jonathan franzen,2002.0,rowohlt reinbek
3596292646,da buch der l cherlichen liebe,milan kundera,2000.0,fischer tb frankfurt
0060977493,god small thing,arundhati roy,1998.0,perennial
0316602906,big bad wolf novel,james patterson,2003.0,little brown
0316693006,four blind mouse,james patterson,2002.0,little brown
0345311396,private screening,richard north patterson,1994.0,ballantine book
0345378490,congo,michael crichton,1995.0,ballantine book
0345404793,protect defend,richard north patterson,2001.0,ballantine book
0375400117,memoir geisha,arthur golden,1997.0,alfred knopf
0375705856,plainsong vintage contemporary,kent haruf,2000.0,vintage
0380717018,body evidence kay scarpetta mystery paperback,patricia cornwell,1992.0,avon
0380718332,remains kay scarpetta mystery paperback,patricia cornwell,1993.0,avon
038076654X,petal river,kathleen woodiwiss,1997.0,avon trade
0380807866,elusive flame,kathleen woodiwiss,1999.0,avon
0385316895,legacy silence,belva plain,1998.0,bantam dell pub group
0385497466,brother,john grisham,2000.0,doubleday
0385508042,king tort,john grisham,2003.0,doubleday book
0385509456,curious incident dog night time novel,mark haddon,2003.0,doubleday
0385511612,bleacher,john grisham,2003.0,doubleday
0385730586,sisterhood traveling pant,ann brashares,2003.0,delacorte book young reader
0425164403,love magical love,erich segal,1998.0,berkley publishing group
0446605484,rose red alex cross novel,james patterson,2001.0,warner vision
0446610399,rescue,nicholas spark,2001.0,warner book
0449006522,manhattan hunt club,john saul,2002.0,ballantine book
0449911004,patty jane house curl ballantine reader circle,lorna landvik,1996.0,ballantine book
0451162072,pet sematary,stephen king,1994.0,signet book
0451186648,silent snow,steve thayer,2000.0,signet book
0452282152,girl pearl earring,tracy chevalier,2001.0,plume book
051513290X,summer storm,judith kelman,2002.0,jove book
0553580388,patient,michael palmer,2001.0,bantam book
0590629719,clifford sport day,norman bridwell,1996.0,scholastic u
0671023616,postmortem kay scarpetta mystery paperback,patricia cornwell,1998.0,pocket
0671027387,deception point,dan brown,2002.0,pocket
0684848783,ti memoir,frank mccourt,1999.0,scribner
0743486226,angel demon,dan brown,2003.0,atrium
0786863986,monk swimming,malachy mccourt,1998.0,hyperion
0804117934,silent cry william monk novel paperback,anne perry,1998.0,ivy book
140003180X,kalahari typing school men 1 lady detective agency,alexander mccall smith,2004.0,anchor
155874262X,chicken soup soul chicken soup soul,jack canfield,1993.0,health communication inc
0060987103,wicked life time wicked witch west,gregory maguire,1996.0,regan book
0151008116,life pi,yann martel,2002.0,harcourt
0375704965,judgement stone,ruth rendell,2000.0,vintage book usa
0525947647,lie lying liar tell fair balanced look right,al franken,2003.0,dutton book
0804111359,secret history,donna tartt,1993.0,ballantine book
1558744150,chicken soup woman soul chicken soup soul series paper,jack canfield,1996.0,health communication inc
0316782505,weight water,anita shreve,2001.0,little brown
006102063X,moving picture discworld novel paperback,terry pratchett,2002.0,harpertorch
0060013117,night watch,terry pratchett,2002.0,harpercollins
0060199563,thief time,terry pratchett,2001.0,harpercollins publisher
0060563079,peter pan original story peter pan,j barrie,2003.0,harperfestival
0064472264,bright side girlfriend sex god confession georgia nicolson,louise rennison,2002.0,harpertempest
0140620664,mansfield park penguin popular classic,jane austen,1994.0,penguin book ltd
0312156960,winter king novel arthur warlord chronicle,bernard cornwell,1997.0,st martin griffin
0312890044,moonheart newford,charles de lint,1994.0,orb book
0375751513,picture dorian gray modern library paperback,oscar wilde,1998.0,modern library
037582345X,golden compass dark material book 1,philip pullman,2002.0,knopf book young reader
0380730448,adrian mole diary secret diary adrian mole aged 13 3 4 growing pain adrian mole,sue townsend,1997.0,perennial
0439510112,born confused,tanuja desai hidier,2003.0,push
0440241413,confession shopaholic,sophie kinsella,2003.0,dell
0451409256,making minty malone,isabel wolff,2000.0,onyx book
0451523415,little woman signet classic,louisa may alcott,1988.0,signet classic
0451526279,emma signet classic paperback,jane austen,1996.0,signet classic
0451526341,animal farm,george orwell,2004.0,signet
0553280589,eva luna,isabel allende,1989.0,bantam book
0571197639,poisonwood bible edition uk,barbara kingsolver,1999.0,faber faber inc
0679751343,angel insect two novella,byatt,1994.0,vintage
0684833395,catch 22,joseph l heller,1996.0,simon schuster
1563898586,league extraordinary gentleman vol 1,alan moore,2002.0,dc comic
156971620X,harlequin valentine,neil gaiman,2002.0,dark horse comic
0374270325,man full,tom wolfe,1998.0,farrar straus giroux byr
0375719180,miracle life edgar mint novel,brady udall,2002.0,vintage book usa
0440235502,october sky memoir,homer hickam,1999.0,dell
044023722X,painted house,john grisham,2001.0,dell publishing company
1573225487,romance reader,pearl abraham,1996.0,riverhead book
1853260673,far madding crowd wordsworth classic,thomas hardy,1997.0,ntc contemporary publishing company
0060977477,perfect storm true story men sea,sebastian junger,1999.0,perennial
0345391691,battle god,karen armstrong,2001.0,ballantine book
0553278746,postman bantam classic,david brin,1990.0,spectrum book
0972044205,breach,brian kaufman,2002.0,last knight pub co
0312963009,neanderthal novel,john darnton,1997.0,st martin press
